exchange,symbol,type
binance,IOTX,spot
binance,NEO,spot
binance,VIB,spot
binance,STMX,spot
binance,UNI,spot
binance,FLM,spot
binance,RUNE,spot
binance,API3,spot
binance,BSW,spot
binance,PROS,spot
binance,REN,spot
binance,FIL,spot
binance,UNFI,spot
binance,ENJ,spot
binance,EOS,spot
binance,ARDR,spot
binance,GFT,spot
binance,STORJ,spot
binance,KSM,spot
binance,GLMR,spot
binance,WLD,spot
binance,ICP,spot
binance,STEEM,spot
binance,BAND,spot
binance,AVAX,spot
binance,DYDX,spot
binance,CREAM,spot
binance,ETHDOWN,spot
binance,PIVX,spot
binance,BUSD,spot
binance,VITE,spot
binance,FARM,spot
binance,HARD,spot
binance,DASH,spot
binance,SYS,spot
binance,FIS,spot
binance,LAZIO,spot
binance,OXT,spot
binance,SUPER,spot
binance,ARK,spot
binance,OMG,spot
binance,RARE,spot
binance,NMR,spot
binance,RPL,spot
binance,WAXP,spot
binance,RAY,spot
binance,JST,spot
binance,T,spot
binance,GRT,spot
binance,ADX,spot
binance,MOB,spot
binance,ACH,spot
binance,MKR,spot
binance,CHESS,spot
binance,GHST,spot
binance,ORDI,spot
binance,WAVES,spot
binance,ANKR,spot
binance,LTC,spot
binance,UMA,spot
binance,ALGO,spot
binance,COS,spot
binance,STRAX,spot
binance,SYN,spot
binance,GAS,spot
binance,BNBDOWN,spot
binance,SSV,spot
binance,ARPA,spot
binance,BNT,spot
binance,GMX,spot
binance,SUI,spot
binance,ZEC,spot
binance,CKB,spot
binance,KDA,spot
binance,VTHO,spot
binance,MBOX,spot
binance,MTL,spot
binance,BNBUP,spot
binance,ALPACA,spot
binance,FET,spot
binance,USDP,spot
binance,DF,spot
binance,MATIC,spot
binance,TROY,spot
binance,ARB,spot
binance,AUCTION,spot
binance,MANA,spot
binance,MAV,spot
binance,REI,spot
binance,SOL,spot
binance,ONG,spot
binance,ETHUP,spot
binance,QNT,spot
binance,KAVA,spot
binance,QI,spot
binance,PEPE,spot
binance,CELR,spot
binance,OOKI,spot
binance,WBTC,spot
binance,XVS,spot
binance,IOST,spot
binance,DREP,spot
binance,WOO,spot
binance,FXS,spot
binance,LRC,spot
binance,TRB,spot
binance,MDT,spot
binance,EDU,spot
binance,KP3R,spot
binance,OG,spot
binance,CFX,spot
binance,OAX,spot
binance,BCH,spot
binance,LOKA,spot
binance,NEXO,spot
binance,GALA,spot
binance,RAD,spot
binance,LDO,spot
binance,SFP,spot
binance,BAKE,spot
binance,KLAY,spot
binance,LINA,spot
binance,PSG,spot
binance,FTM,spot
binance,USTC,spot
binance,SUN,spot
binance,SLP,spot
binance,STPT,spot
binance,FIRO,spot
binance,TIA,spot
binance,FDUSD,spot
binance,BURGER,spot
binance,TRX,spot
binance,YFI,spot
binance,ROSE,spot
binance,JUV,spot
binance,BAL,spot
binance,NEAR,spot
binance,DEXE,spot
binance,TUSD,spot
binance,MOVR,spot
binance,AUDIO,spot
binance,UTK,spot
binance,CHR,spot
binance,LSK,spot
binance,QKC,spot
binance,SCRT,spot
binance,COMP,spot
binance,UFT,spot
binance,OP,spot
binance,IRIS,spot
binance,TKO,spot
binance,PHA,spot
binance,BTCDOWN,spot
binance,FRONT,spot
binance,WIN,spot
binance,ZEN,spot
binance,FLUX,spot
binance,USDC,spot
binance,HOT,spot
binance,IOTA,spot
binance,SUSHI,spot
binance,SANTOS,spot
binance,WAN,spot
binance,JASMY,spot
binance,CLV,spot
binance,PNT,spot
binance,KEY,spot
binance,HIGH,spot
binance,SNX,spot
binance,BICO,spot
binance,POLS,spot
binance,INJ,spot
binance,KNC,spot
binance,CITY,spot
binance,DENT,spot
binance,LOOM,spot
binance,ENS,spot
binance,PORTO,spot
binance,SPELL,spot
